<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,,,,,,,,,,,,
10-Sep-18,103470,103470,103420,103440,,,,,,,,,,,,
10-Sep-18,103460,103510,103440,103480,,,,,,,,,,,,
10-Sep-18,103480,103520,103460,103520,,,,,,,,,,,,
10-Sep-18,103530,103530,103490,103490,,,,,,,,,,,,
10-Sep-18,103440,103450,103440,103450,,,,,,,,,,,,
10-Sep-18,103420,103430,103400,103430,,,,,,,,,,,,
10-Sep-18,103450,103500,103450,103470,,,,,,,,,,,,
10-Sep-18,103470,103470,103450,103450,,,,,,,,,,,,
10-Sep-18,103420,103420,103420,103420,,,,,,,,,,,,
10-Sep-18,103480,103480,103470,103470,,,,,,,,,,,,
10-Sep-18,103480,103480,103440,103440,,,,,,,,,,,,
10-Sep-18,103450,103450,103450,103450,,,,,,,,,,,,
10-Sep-18,103450,103450,103440,103440,,,,,,,,,,,,
10-Sep-18,103430,103430,103340,103380,,,,,,,,,,,,
10-Sep-18,103360,103360,103220,103220,,,,,,,,,,,,
10-Sep-18,103220,103270,103220,103270,,,,,,,,,,,,
10-Sep-18,103290,103320,103270,103270,,,,,,,,,,,,
10-Sep-18,103280,103290,103280,103290,,,,,,,,,,,,
10-Sep-18,103260,103300,103260,103300,,,,,,,,,,,,
10-Sep-18,103250,103250,103170,103200,,,,,,,,,,,,
10-Sep-18,103250,103320,103250,103320,,,,,,,,,,,,
10-Sep-18,103270,103300,103270,103300,,,,,,,,,,,,
10-Sep-18,103300,103300,103230,103250,,,,,,,,,,,,
10-Sep-18,103270,103300,103270,103300,,,,,,,,,,,,
10-Sep-18,103300,103300,103280,103280,,,,,,,,,,,,
10-Sep-18,103260,103300,103260,103300,,,,,,,,,,,,
10-Sep-18,103290,103300,103290,103300,,,,,,,,,,,,
10-Sep-18,103300,103340,103300,103340,,,,,,,,,,,,
10-Sep-18,103340,103350,103340,103350,,,,,,,,,,,,
10-Sep-18,103350,103350,103340,103350,,,,,,,,,,,,
10-Sep-18,103350,103350,103350,103350,,,,,,,,,,,,
10-Sep-18,103310,103370,103310,103340,,,,,,,,,,,,
10-Sep-18,103340,103340,103290,103290,,,,,,,,,,,,
10-Sep-18,103280,103280,103210,103240,,,,,,,,,,,,
10-Sep-18,103220,103220,103170,103170,,,,,,,,,,,,
10-Sep-18,103170,103220,103170,103220,,,,,,,,,,,,
10-Sep-18,103240,103240,103180,103180,,,,,,,,,,,,
10-Sep-18,103160,103160,103100,103120,,,,,,,,,,,,
10-Sep-18,103150,103160,103150,103160,,,,,,,,,,,,
10-Sep-18,103180,103180,103170,103170,,,,,,,,,,,,
10-Sep-18,103160,103160,103080,103100,,,,,,,,,,,,
10-Sep-18,103100,103160,103100,103160,,,,,,,,,,,,
10-Sep-18,103180,103200,103180,103200,,,,,,,,,,,,
10-Sep-18,103190,103190,103170,103170,,,,,,,,,,,,
10-Sep-18,103160,103300,103160,103300,,,,,,,,,,,,
10-Sep-18,103290,103300,103290,103300,,,,,,,,,,,,
10-Sep-18,103300,103320,103300,103320,,,,,,,,,,,,
10-Sep-18,103320,103340,103320,103340,,,,,,,,,,,,
10-Sep-18,103320,103330,103320,103330,,,,,,,,,,,,
10-Sep-18,103280,103280,103200,103230,,,,,,,,,,,,
10-Sep-18,103220,103220,103200,103200,,,,,,,,,,,,
10-Sep-18,103160,103160,103160,103160,,,,,,,,,,,,
10-Sep-18,103150,103170,103130,103170,,,,,,,,,,,,
10-Sep-18,103190,103200,103180,103180,,,,,,,,,,,,
10-Sep-18,103170,103170,103170,103170,,,,,,,,,,,,
10-Sep-18,103210,103210,103210,103210,,,,,,,,,,,,
10-Sep-18,103250,103260,103250,103260,,,,,,,,,,,,
10-Sep-18,103210,103210,103210,103210,,,,,,,,,,,,
10-Sep-18,103220,103240,103220,103240,,,,,,,,,,,,
10-Sep-18,103250,103250,103210,103240,,,,,,,,,,,,
10-Sep-18,103230,103230,103230,103230,,,,,,,,,,,,
10-Sep-18,103290,103290,103280,103280,,,,,,,,,,,,
10-Sep-18,103280,103280,103280,103280,,,,,,,,,,,,
10-Sep-18,103240,103240,103240,103240,,,,,,,,,,,,
10-Sep-18,103230,103230,103200,103200,,,,,,,,,,,,
10-Sep-18,103290,103290,103290,103290,,,,,,,,,,,,
10-Sep-18,103290,103290,103280,103280,,,,,,,,,,,,
10-Sep-18,103280,103280,103280,103280,,,,,,,,,,,,
10-Sep-18,103190,103200,103190,103200,,,,,,,,,,,,
10-Sep-18,103200,103200,103200,103200,,,,,,,,,,,,
10-Sep-18,103150,103150,103080,103120,,,,,,,,,,,,
10-Sep-18,103100,103140,103080,103140,,,,,,,,,,,,
10-Sep-18,103170,103190,103170,103190,,,,,,,,,,,,
10-Sep-18,103210,103210,103210,103210,,,,,,,,,,,,
10-Sep-18,103220,103220,103220,103220,,,,,,,,,,,,
10-Sep-18,103180,103180,103180,103180,,,,,,,,,,,,
10-Sep-18,103190,103220,103190,103220,,,,,,,,,,,,
10-Sep-18,103230,103230,103230,103230,,,,,,,,,,,,
10-Sep-18,103260,103390,103260,103390,,,,,,,,,,,,
10-Sep-18,103380,103380,103380,103380,,,,,,,,,,,,
10-Sep-18,103390,103400,103370,103370,,,,,,,,,,,,
10-Sep-18,103350,103350,103350,103350,,,,,,,,,,,,
10-Sep-18,103360,103360,103360,103360,,,,,,,,,,,,
10-Sep-18,103370,103370,103370,103370,,,,,,,,,,,,
10-Sep-18,103370,103370,103340,103340,,,,,,,,,,,,
10-Sep-18,103380,103380,103380,103380,,,,,,,,,,,,
10-Sep-18,103380,103380,103360,103360,,,,,,,,,,,,
10-Sep-18,103330,103330,103320,103320,,,,,,,,,,,,
10-Sep-18,103310,103310,103300,103300,,,,,,,,,,,,
10-Sep-18,103310,103330,103310,103330,,,,,,,,,,,,
10-Sep-18,103300,103310,103300,103310,,,,,,,,,,,,
10-Sep-18,103330,103330,103330,103330,,,,,,,,,,,,
10-Sep-18,103340,103350,103340,103350,,,,,,,,,,,,
10-Sep-18,103340,103340,103340,103340,,,,,,,,,,,,
10-Sep-18,103320,103320,103320,103320,,,,,,,,,,,,
10-Sep-18,103320,103320,103320,103320,,,,,,,,,,,,
10-Sep-18,103350,103350,103350,103350,,,,,,,,,,,,
10-Sep-18,103350,103360,103350,103360,,,,,,,,,,,,
10-Sep-18,103340,103340,103340,103340,,,,,,,,,,,,
10-Sep-18,103320,103320,103320,103320,,,,,,,,,,,,
10-Sep-18,103350,103350,103350,103350,,,,,,,,,,,,
10-Sep-18,103300,103300,103300,103300,,,,,,,,,,,,
10-Sep-18,103310,103310,103310,103310,,,,,,,,,,,,
10-Sep-18,103300,103300,103290,103290,,,,,,,,,,,,
10-Sep-18,103300,103300,103300,103300,,,,,,,,,,,,
10-Sep-18,103330,103330,103330,103330,,,,,,,,,,,,
10-Sep-18,103310,103310,103310,103310,,,,,,,,,,,,
10-Sep-18,103280,103280,103280,103280,,,,,,,,,,,,
10-Sep-18,103290,103290,103280,103280,,,,,,,,,,,,
10-Sep-18,103290,103290,103280,103280,,,,,,,,,,,,
10-Sep-18,103290,103300,103290,103300,,,,,,,,,,,,
10-Sep-18,103310,103310,103310,103310,,,,,,,,,,,,
10-Sep-18,103310,103320,103310,103320,,,,,,,,,,,,
10-Sep-18,103340,103340,103310,103310,,,,,,,,,,,,
10-Sep-18,103300,103300,103300,103300,,,,,,,,,,,,
10-Sep-18,103300,103300,103300,103300,,,,,,,,,,,,
10-Sep-18,103300,103300,103260,103290,,,,,,,,,,,,
10-Sep-18,103330,103330,103330,103330,,,,,,,,,,,,
10-Sep-18,103310,103310,103310,103310,,,,,,,,,,,,
10-Sep-18,103310,103310,103310,103310,,,,,,,,,,,,
10-Sep-18,103280,103280,103280,103280,,,,,,,,,,,,
10-Sep-18,103260,103280,103260,103280,,,,,,,,,,,,
10-Sep-18,103290,103290,103290,103290,,,,,,,,,,,,
10-Sep-18,103280,103280,103280,103280,,,,,,,,,,,,
10-Sep-18,103280,103330,103280,103330,,,,,,,,,,,,
10-Sep-18,103350,103480,103350,103450,,,,,,,,,,,,
10-Sep-18,103490,103490,103420,103420,,,,,,,,,,,,
10-Sep-18,103460,103460,103370,103370,,,,,,,,,,,,
10-Sep-18,103360,103360,103350,103360,,,,,,,,,,,,
10-Sep-18,103360,103360,103330,103350,,,,,,,,,,,,
10-Sep-18,103350,103350,103350,103350,,,,,,,,,,,,
10-Sep-18,103320,103320,103320,103320,,,,,,,,,,,,
10-Sep-18,103310,103390,103310,103390,,,,,,,,,,,,
10-Sep-18,103390,103390,103320,103320,,,,,,,,,,,,
10-Sep-18,103350,103350,103350,103350,,,,,,,,,,,,
10-Sep-18,103310,103350,103310,103350,,,,,,,,,,,,
10-Sep-18,103360,103360,103340,103350,,,,,,,,,,,,
10-Sep-18,103350,103350,103350,103350,,,,,,,,,,,,
10-Sep-18,103350,103370,103350,103350,,,,,,,,,,,,
10-Sep-18,103350,103350,103340,103340,,,,,,,,,,,,
10-Sep-18,103320,103340,103320,103320,,,,,,,,,,,,
10-Sep-18,103310,103330,103310,103330,,,,,,,,,,,,
10-Sep-18,103310,103310,103300,103300,,,,,,,,,,,,
10-Sep-18,103300,103300,103300,103300,,,,,,,,,,,,
10-Sep-18,103330,103330,103330,103330,,,,,,,,,,,,
10-Sep-18,103310,103340,103310,103340,,,,,,,,,,,,
10-Sep-18,103320,103320,103290,103290,,,,,,,,,,,,
10-Sep-18,103280,103290,103280,103290,,,,,,,,,,,,
10-Sep-18,103290,103290,103270,103270,,,,,,,,,,,,
10-Sep-18,103270,103270,103270,103270,,,,,,,,,,,,
10-Sep-18,103300,103300,103300,103300,,,,,,,,,,,,
10-Sep-18,103350,103350,103320,103320,,,,,,,,,,,,
10-Sep-18,103360,103360,103330,103330,,,,,,,,,,,,
10-Sep-18,103330,103330,103320,103320,,,,,,,,,,,,
10-Sep-18,103320,103320,103260,103300,,,,,,,,,,,,
10-Sep-18,103310,103310,103250,103250,,,,,,,,,,,,
10-Sep-18,103200,103260,103190,103260,,,,,,,,,,,,
10-Sep-18,103250,103300,103250,103300,,,,,,,,,,,,
10-Sep-18,103320,103320,103320,103320,,,,,,,,,,,,
10-Sep-18,103310,103310,103250,103250,,,,,,,,,,,,
10-Sep-18,103250,103250,103220,103220,,,,,,,,,,,,
10-Sep-18,103190,103200,103190,103200,,,,,,,,,,,,
10-Sep-18,103220,103220,103220,103220,,,,,,,,,,,,
10-Sep-18,103290,103290,103280,103280,,,,,,,,,,,,
10-Sep-18,103240,103240,103150,103150,,,,,,,,,,,,
10-Sep-18,103240,103240,103220,103220,,,,,,,,,,,,
10-Sep-18,103300,103340,103280,103280,,,,,,,,,,,,
10-Sep-18,103300,103300,103300,103300,,,,,,,,,,,,
10-Sep-18,103280,103280,103250,103250,,,,,,,,,,,,
10-Sep-18,103250,103250,103130,103170,,,,,,,,,,,,
10-Sep-18,103140,103150,103110,103110,,,,,,,,,,,,
10-Sep-18,103130,103180,103130,103180,,,,,,,,,,,,
10-Sep-18,103150,103200,103150,103200,,,,,,,,,,,,
10-Sep-18,103220,103220,103220,103220,,,,,,,,,,,,
10-Sep-18,103150,103150,103150,103150,,,,,,,,,,,,
10-Sep-18,103200,103200,103200,103200,,,,,,,,,,,,
10-Sep-18,103160,103160,103160,103160,,,,,,,,,,,,
10-Sep-18,103190,103200,103190,103200,,,,,,,,,,,,
10-Sep-18,103150,103150,103150,103150,,,,,,,,,,,,
10-Sep-18,103090,103090,103040,103080,,,,,,,,,,,,
10-Sep-18,103100,103100,103100,103100,,,,,,,,,,,,
10-Sep-18,103120,103120,103110,103110,,,,,,,,,,,,
10-Sep-18,103090,103090,103060,103090,,,,,,,,,,,,
10-Sep-18,103140,103170,103140,103160,,,,,,,,,,,,
10-Sep-18,103160,103210,103160,103210,,,,,,,,,,,,
10-Sep-18,103190,103190,103190,103190,,,,,,,,,,,,
10-Sep-18,103190,103230,103190,103230,,,,,,,,,,,,
10-Sep-18,103250,103360,103250,103360,,,,,,,,,,,,
10-Sep-18,103370,103400,103350,103350,,,,,,,,,,,,
10-Sep-18,103300,103300,103300,103300,,,,,,,,,,,,
10-Sep-18,103300,103300,103270,103270,,,,,,,,,,,,
10-Sep-18,103260,103260,103240,103260,,,,,,,,,,,,
10-Sep-18,103300,103310,103290,103310,,,,,,,,,,,,
10-Sep-18,103360,103410,103360,103400,,,,,,,,,,,,
10-Sep-18,103260,103260,103260,103260,,,,,,,,,,,,
10-Sep-18,103270,103270,103270,103270,,,,,,,,,,,,
10-Sep-18,103210,103220,103210,103220,,,,,,,,,,,,
10-Sep-18,103220,103220,103220,103220,,,,,,,,,,,,
10-Sep-18,103200,103220,103200,103220,,,,,,,,,,,,
10-Sep-18,103260,103260,103260,103260,,,,,,,,,,,,
10-Sep-18,103330,103330,103330,103330,,,,,,,,,,,,
10-Sep-18,103320,103320,103320,103320,,,,,,,,,,,,
10-Sep-18,103310,103330,103310,103330,,,,,,,,,,,,
10-Sep-18,103340,103340,103340,103340,,,,,,,,,,,,
10-Sep-18,103330,103330,103330,103330,,,,,,,,,,,,
10-Sep-18,103280,103280,103220,103220,,,,,,,,,,,,
10-Sep-18,103190,103190,103170,103190,,,,,,,,,,,,
10-Sep-18,103190,103210,103190,103210,,,,,,,,,,,,
10-Sep-18,103270,103280,103220,103220,,,,,,,,,,,,
10-Sep-18,103190,103190,103150,103150,,,,,,,,,,,,
10-Sep-18,103130,103140,103130,103130,,,,,,,,,,,,
10-Sep-18,103130,103160,103120,103160,,,,,,,,,,,,
10-Sep-18,103080,103080,103080,103080,,,,,,,,,,,,
10-Sep-18,103060,103070,103050,103060,,,,,,,,,,,,
10-Sep-18,103100,103110,103060,103060,,,,,,,,,,,,
10-Sep-18,103030,103060,102910,103060,,,,,,,,,,,,
10-Sep-18,103110,103180,103110,103180,,,,,,,,,,,,
10-Sep-18,103110,103130,103090,103130,,,,,,,,,,,,
10-Sep-18,103150,103160,103150,103160,,,,,,,,,,,,
10-Sep-18,103180,103190,103180,103190,,,,,,,,,,,,
10-Sep-18,103190,103210,103170,103170,,,,,,,,,,,,
10-Sep-18,103190,103200,103190,103200,,,,,,,,,,,,
10-Sep-18,103210,103210,103170,103170,,,,,,,,,,,,
10-Sep-18,103200,103250,103200,103250,,,,,,,,,,,,
10-Sep-18,103220,103230,103210,103230,,,,,,,,,,,,
10-Sep-18,103300,103320,103300,103320,,,,,,,,,,,,
10-Sep-18,103310,103310,103300,103300,,,,,,,,,,,,
10-Sep-18,103260,103270,103240,103270,,,,,,,,,,,,
10-Sep-18,103270,103280,103240,103240,,,,,,,,,,,,
10-Sep-18,103220,103220,103220,103220,,,,,,,,,,,,
10-Sep-18,103190,103190,103190,103190,,,,,,,,,,,,
10-Sep-18,103200,103210,103200,103210,,,,,,,,,,,,
10-Sep-18,103220,103220,103220,103220,,,,,,,,,,,,
10-Sep-18,103150,103150,103150,103150,,,,,,,,,,,,
10-Sep-18,103140,103140,103140,103140,,,,,,,,,,,,
10-Sep-18,103160,103170,103160,103170,,,,,,,,,,,,
10-Sep-18,103180,103180,103180,103180,,,,,,,,,,,,
10-Sep-18,103210,103210,103210,103210,,,,,,,,,,,,
10-Sep-18,103220,103220,103220,103220,,,,,,,,,,,,
10-Sep-18,103200,103200,103200,103200,,,,,,,,,,,,
10-Sep-18,103200,103260,103200,103260,,,,,,,,,,,,
10-Sep-18,103300,103320,103300,103320,,,,,,,,,,,,
10-Sep-18,103340,103370,103340,103350,,,,,,,,,,,,
10-Sep-18,103360,103430,103360,103420,,,,,,,,,,,,
10-Sep-18,103430,103450,103420,103420,,,,,,,,,,,,
10-Sep-18,103420,103430,103390,103390,,,,,,,,,,,,
10-Sep-18,103390,103390,103370,103370,,,,,,,,,,,,
10-Sep-18,103350,103360,103300,103300,,,,,,,,,,,,
10-Sep-18,103300,103310,103300,103300,,,,,,,,,,,,
10-Sep-18,103310,103320,103310,103320,,,,,,,,,,,,
10-Sep-18,103320,103320,103270,103270,,,,,,,,,,,,
10-Sep-18,103300,103300,103200,103200,,,,,,,,,,,,
10-Sep-18,103240,103340,103240,103240,,,,,,,,,,,,
10-Sep-18,103320,103320,103290,103290,,,,,,,,,,,,
10-Sep-18,103200,103200,103200,103200,,,,,,,,,,,,
10-Sep-18,103150,103150,103150,103150,,,,,,,,,,,,
10-Sep-18,103180,103180,103180,103180,,,,,,,,,,,,
10-Sep-18,103200,103200,103200,103200,,,,,,,,,,,,
10-Sep-18,103160,103160,103160,103160,,,,,,,,,,,,
10-Sep-18,103110,103110,103110,103110,,,,,,,,,,,,
10-Sep-18,103120,103130,103120,103130,,,,,,,,,,,,
10-Sep-18,103100,103100,103100,103100,,,,,,,,,,,,
10-Sep-18,103100,103100,103100,103100,,,,,,,,,,,,
10-Sep-18,103100,103100,103100,103100,,,,,,,,,,,,
10-Sep-18,103100,103100,103100,103100,,,,,,,,,,,,
10-Sep-18,103140,103140,103140,103140,,,,,,,,,,,,
10-Sep-18,103190,103190,103190,103190,,,,,,,,,,,,
10-Sep-18,103190,103190,103190,103190,,,,,,,,,,,,
10-Sep-18,103170,103180,103170,103180,,,,,,,,,,,,
10-Sep-18,103180,103180,103180,103180,,,,,,,,,,,,
10-Sep-18,103160,103160,103160,103160,,,,,,,,,,,,
